Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,2.9445427894592284,13.125,4.964699077606201,1.25
2,2.2699564933776855,20.0,4.544373111724854,2.75
3,2.1243167877197267,24.0625,4.291128997802734,2.5
4,2.1793381690979006,23.4375,4.007053432464599,2.25
5,1.8429328680038453,26.5625,3.962492961883545,3.75
6,1.8345942974090577,33.75,3.8407641220092774,4.0
7,1.748713231086731,36.5625,3.719548921585083,5.5
8,1.7593570232391358,38.125,3.6752148818969728,5.5
9,1.841681218147278,32.5,3.6696838760375976,6.25
10,1.7522287130355836,35.625,3.673345127105713,5.5
11,1.7508496999740601,32.5,3.6530667972564697,5.5
12,1.5926847219467164,34.0625,3.5923896408081055,5.5
13,1.4686142921447753,41.5625,3.6232310485839845,5.5
14,1.5395467758178711,37.1875,3.522247304916382,5.25
15,1.551279401779175,37.8125,3.509072961807251,5.25
16,1.559216570854187,35.3125,3.5105396270751954,7.25
17,1.4924290418624877,40.3125,3.5069768810272217,6.75
18,1.5634000062942506,38.125,3.5138745594024656,7.0
19,1.5024493217468262,39.6875,3.5027486228942872,6.5
20,1.416226601600647,41.25,3.444038848876953,5.75
21,1.450548768043518,37.5,3.4537792110443117,7.75
22,1.349572443962097,44.6875,3.466609764099121,7.75
23,1.3073184132575988,43.4375,3.3893439102172853,8.75
24,1.3598872184753419,40.9375,3.356469259262085,7.75
25,1.3416793823242188,40.9375,3.3722212886810303,6.5
26,1.288041067123413,44.375,3.3828024196624757,8.75
27,1.24229736328125,45.0,3.346105194091797,8.25
28,1.2512124180793762,43.75,3.336007385253906,7.75
29,1.3719590902328491,44.0625,3.340866174697876,8.25
30,1.2996878147125244,46.25,3.335300951004028,8.5
31,1.3320538997650146,45.3125,3.2972902774810793,11.0
32,1.3576047658920287,40.3125,3.2809285163879394,9.25
33,1.312777543067932,43.75,3.19555700302124,8.25
34,1.2808929443359376,43.75,3.2362757682800294,12.25
35,1.2384655833244325,46.875,3.1649785327911375,10.25
36,1.3797900915145873,47.1875,3.230078659057617,10.0
37,1.190708327293396,49.375,3.1763328456878663,9.5
38,1.2254807472229003,43.75,3.1655281829833983,9.5
39,1.2787178993225097,46.5625,3.144440183639526,10.25
40,1.2209869861602782,47.5,3.0932482624053956,9.5
41,1.108027458190918,53.4375,3.124414758682251,10.75
42,1.2067924976348876,50.3125,3.0756608772277834,11.0
43,1.3417143106460572,43.125,3.035370225906372,12.75
44,1.2181437969207765,46.5625,3.0864948844909668,12.0
45,1.2201006293296814,47.5,3.1384309196472167,10.5
46,1.3304085731506348,41.875,3.0193906879425048,10.0
47,1.2838991403579711,44.375,3.1057385444641112,9.0
48,1.155915379524231,48.4375,3.011821222305298,10.5
49,1.269577956199646,43.75,3.012085189819336,9.25
50,1.2491923332214356,44.6875,3.017562971115112,9.75
51,1.1402610898017884,46.25,3.030016508102417,11.25
52,1.226085615158081,49.375,3.0242669677734373,10.25
53,1.2818568468093872,45.3125,3.0095119285583496,10.0
54,1.2435099601745605,45.9375,2.9885650730133055,11.25
55,1.233392608165741,44.0625,2.9368882846832274,10.0
56,1.2535839319229125,47.8125,2.911510944366455,9.75
57,1.125004529953003,47.5,2.9263477420806883,10.75
58,1.2181544303894043,51.25,2.8814684200286864,11.25
59,1.177234697341919,46.5625,2.9148824787139893,11.75
60,1.1857437133789062,48.75,2.934394989013672,11.0
61,1.1460905432701112,51.25,2.9772635555267333,11.0
62,1.1857659339904785,51.5625,2.901319351196289,10.5
63,1.134741735458374,49.375,2.926219902038574,11.0
64,1.1600619554519653,50.3125,2.876203136444092,12.75
65,1.2258439183235168,48.75,2.8340027141571045,11.5
66,1.1812426328659058,49.0625,2.85217472076416,13.5
67,1.142715072631836,47.8125,2.930800495147705,11.75
68,1.200903630256653,45.0,2.879262351989746,11.5
69,1.2246699571609496,44.6875,2.8820582389831544,12.25
70,1.1888124704360963,50.3125,2.913177318572998,11.25
71,1.136752724647522,52.1875,2.8893906974792483,10.75
72,1.2087054133415223,49.0625,2.8212072467803955,12.25
73,1.2194568634033203,47.8125,2.8342430782318115,11.25
74,1.0750390529632567,50.3125,2.8275309371948243,11.0
75,1.1690760493278503,49.6875,2.8562308597564696,11.25
76,1.1316996335983276,54.375,2.8164957618713378,11.0
77,1.0552547454833985,55.0,2.817563896179199,12.75
78,1.151304054260254,50.3125,2.8228679656982423,13.0
79,1.1328786611557007,47.5,2.836613321304321,11.0
80,1.0890347480773925,50.9375,2.771209268569946,11.5
81,1.1370514154434204,47.5,2.7903986167907715,10.25
82,1.0683684945106506,46.875,2.7906876945495607,10.25
83,1.064620065689087,49.375,2.7236923027038573,13.5
84,1.1413367509841919,48.75,2.7803678703308106,13.0
85,1.117508888244629,47.1875,2.7746841716766357,11.25
86,1.0991308212280273,51.5625,2.6757169818878173,14.75
87,1.1790517330169679,50.625,2.674140634536743,11.75
88,1.1698384761810303,47.8125,2.7456280422210693,12.5
89,1.1820659160614013,52.8125,2.7037211322784422,11.0
90,1.1722174167633057,49.0625,2.704955778121948,11.5
91,1.2316616535186768,45.0,2.722880735397339,10.25
92,1.1707602262496948,44.375,2.68951226234436,12.5
93,1.1142238259315491,51.25,2.687838087081909,12.25
94,1.2108011841773987,47.8125,2.653702392578125,12.25
95,1.1321856737136842,49.375,2.702122507095337,11.0
96,1.1243229746818542,51.875,2.6467758083343504,12.25
97,1.107450294494629,48.4375,2.6513049602508545,13.0
98,1.1225134611129761,50.0,2.6491355228424074,13.25
99,1.1512616634368897,49.375,2.688909273147583,10.75
100,1.0364124774932861,51.875,2.6563659572601317,11.75
