Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,1.987417984008789,33.125,3.196552734375,9.25
2,1.255943489074707,57.1875,2.355218391418457,27.25
3,1.1500398755073546,65.3125,2.160202593803406,34.25
4,1.0424349188804627,65.9375,2.039446625709534,38.5
5,1.0698118090629578,62.5,1.9711644411087037,39.75
6,1.0407557129859923,68.4375,1.9243201541900634,40.75
7,0.96706063747406,69.375,1.887450704574585,44.25
8,0.8843724370002747,72.8125,1.8543985080718994,43.5
9,0.8526241779327393,72.8125,1.8394352054595948,43.5
10,0.9250326752662659,69.375,1.8269330739974976,45.75
11,0.8384597897529602,71.25,1.7752034711837767,49.0
12,0.8528276205062866,72.5,1.7710383558273315,45.5
13,0.9305605530738831,68.75,1.7101556587219238,47.0
14,0.8486537098884582,73.125,1.7381613922119141,47.25
15,0.8558149695396423,71.875,1.7202450561523437,48.0
16,0.9146568298339843,72.8125,1.6839078378677368,50.25
17,0.9023955702781677,72.5,1.6682578277587892,50.0
18,0.7973976135253906,71.25,1.6709327030181884,48.25
19,0.6981586813926697,76.875,1.649383454322815,50.5
20,0.8533325672149659,71.25,1.650726146697998,49.5
21,0.7960813879966736,76.25,1.6383089017868042,48.25
22,0.9093846917152405,70.625,1.6201983451843263,51.25
23,0.8702447891235352,73.125,1.5623548984527589,51.75
24,0.7131974101066589,74.0625,1.5937354040145875,50.25
25,0.7835764050483703,71.875,1.6003784561157226,51.5
26,0.6901580572128296,76.5625,1.584412693977356,50.0
27,0.8292126059532166,73.75,1.5900022649765015,49.5
28,0.7190039098262787,76.875,1.5514450454711914,50.25
29,0.7356179714202881,75.9375,1.5750315761566163,50.0
30,0.7705007314682006,73.125,1.579550347328186,48.75
31,0.7210346579551696,77.5,1.5456827688217163,50.0
32,0.9272504568099975,69.375,1.5475880670547486,50.0
33,0.717893636226654,76.25,1.5583425521850587,50.75
34,0.8216242790222168,75.0,1.5195332384109497,50.5
35,0.6606082797050477,77.5,1.5291087579727174,50.75
36,0.7819429039955139,74.375,1.5222783184051514,51.5
37,0.7972452878952027,73.75,1.541092963218689,50.0
38,0.8844026565551758,71.5625,1.5210207271575928,49.25
39,0.7337864160537719,76.5625,1.4964380264282227,52.0
40,0.7000683903694153,76.875,1.4863961791992188,50.0
41,0.7317395687103272,75.3125,1.527750005722046,50.75
42,0.7551066756248475,75.3125,1.5165656948089599,51.0
43,0.7304988861083984,74.0625,1.5117817640304565,51.75
44,0.7831764698028565,74.6875,1.4957142305374145,50.5
45,0.7115226089954376,75.625,1.4944499397277833,50.5
46,0.7284017920494079,74.0625,1.4849827146530152,52.5
47,0.6785751938819885,74.375,1.4723470783233643,51.75
48,0.6980562090873719,76.25,1.4708056545257568,52.25
49,0.7423291683197022,74.375,1.4512054967880248,51.0
50,0.6215790152549744,78.4375,1.4537355089187622,52.5
51,0.7347577512264252,75.9375,1.4705116033554078,51.25
52,0.7137024760246277,77.1875,1.457051477432251,52.0
53,0.7885146856307983,72.8125,1.4374833726882934,52.5
54,0.5759729146957397,79.375,1.4600989246368408,52.5
55,0.6702782154083252,78.75,1.460263695716858,52.75
56,0.7447986960411072,75.3125,1.4479922723770142,53.0
57,0.7090367317199707,74.6875,1.4210065841674804,53.25
58,0.6768702149391175,76.5625,1.4413598155975342,52.0
59,0.7462092041969299,75.3125,1.4106828498840331,54.0
60,0.6919591546058654,74.6875,1.4041160202026368,52.75
61,0.6584791243076324,73.125,1.396081700325012,53.75
62,0.6121825575828552,79.6875,1.4005771255493165,53.5
63,0.8296628057956695,70.9375,1.39826331615448,54.25
64,0.6650382995605468,74.0625,1.3917211627960204,54.25
65,0.6276061475276947,78.4375,1.3943316411972047,53.5
66,0.7248896598815918,73.4375,1.4045065450668335,51.75
67,0.7150466680526734,73.125,1.4139458227157593,52.25
68,0.6438695788383484,79.375,1.387664532661438,54.75
69,0.7178510189056396,75.9375,1.3917207908630371,53.0
70,0.7532053351402282,74.6875,1.36287202835083,53.0
71,0.7388832688331604,75.9375,1.3620721864700318,55.75
72,0.6515011787414551,76.5625,1.386689877510071,53.25
73,0.7480675220489502,75.0,1.3769290447235107,52.5
74,0.5765195667743683,82.1875,1.3965325117111207,53.5
75,0.7261343359947204,74.0625,1.3740096998214721,53.5
76,0.7132107377052307,75.0,1.354345006942749,53.5
