Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,3.3705870628356935,15.0,5.1201888465881344,3.5
2,2.2534486055374146,32.1875,4.101381015777588,9.25
3,1.8267608165740967,42.1875,3.449984130859375,17.0
4,1.527958130836487,48.75,3.217197046279907,18.0
5,1.5574597358703612,49.0625,2.94094108581543,22.5
6,1.5114733934402467,55.0,2.7782207202911375,28.5
7,1.2978177547454834,60.0,2.658150215148926,31.0
8,1.1203886270523071,60.9375,2.528090810775757,31.75
9,1.1604672431945802,65.625,2.459283971786499,34.5
10,1.2167861461639404,60.9375,2.4100018882751466,35.5
11,1.199792754650116,66.5625,2.366694116592407,36.5
12,1.0666862845420837,69.375,2.321928310394287,37.0
13,1.0946234107017516,65.3125,2.2405593585968018,38.25
14,1.045906090736389,69.375,2.1765998935699464,38.25
15,1.1526741623878478,64.0625,2.228597764968872,39.5
16,1.0642624139785766,66.875,2.1595058917999266,42.0
17,1.122328555583954,65.3125,2.1463286018371583,39.75
18,1.1463135480880737,67.5,2.161333303451538,41.0
19,0.9432952165603637,70.0,2.1535221481323243,41.5
20,1.1101003289222717,68.125,2.0678592586517333,43.0
21,1.0227270245552063,68.4375,1.9891295528411865,42.75
22,0.9948794364929199,71.25,2.0662189292907716,41.25
23,1.121958601474762,68.125,2.049285545349121,43.25
24,0.9504719138145447,72.5,1.9749093055725098,44.75
25,0.958657443523407,70.0,2.0385480308532715,42.0
26,0.868514621257782,73.125,1.9846396732330323,45.0
27,0.9963315963745117,70.625,1.9809940147399903,43.75
28,0.9863100647926331,71.5625,1.8561634635925293,46.0
29,0.8588686108589172,75.625,1.914511013031006,46.0
30,1.0502675533294679,68.4375,1.901995906829834,45.75
31,0.8463652610778809,74.0625,1.8558888912200928,48.0
32,1.0453340649604796,70.625,1.8708598041534423,47.25
33,0.9143416166305542,73.4375,1.8760502338409424,45.75
34,0.9293156027793884,69.375,1.854406671524048,44.0
35,0.8061716556549072,75.625,1.8599320983886718,46.0
36,0.9513554096221923,71.25,1.8164484739303588,47.75
37,0.8633987069129944,70.3125,1.857437710762024,47.0
38,1.0941918730735778,67.1875,1.8545709943771362,45.0
39,0.9038284182548523,70.0,1.7708281946182252,48.25
40,0.8594254732131958,74.375,1.8107415819168091,46.75
41,0.9258829474449157,69.375,1.8068184757232666,47.25
42,0.8886219739913941,71.875,1.802097568511963,49.0
43,0.9078238606452942,71.5625,1.8117254734039308,46.25
44,0.9411763787269593,70.9375,1.822571268081665,47.25
45,0.8041220664978027,72.5,1.8164197635650634,45.0
46,0.9077413320541382,72.1875,1.7478004026412963,48.25
47,0.8690490126609802,72.5,1.7444321060180663,49.0
48,0.9205244064331055,69.0625,1.7672621822357177,46.5
49,0.8933327794075012,72.8125,1.752088623046875,50.0
50,0.718844187259674,75.625,1.7369749546051025,49.5
51,0.9392657160758973,72.8125,1.7705331993103028,46.75
52,0.8620991230010986,75.0,1.7601376056671143,48.0
53,0.9096644043922424,70.625,1.7275098800659179,50.0
54,0.759746128320694,76.5625,1.7497903633117675,49.5
55,0.8572034358978271,73.4375,1.7813043689727783,49.5
56,0.8029913306236267,74.375,1.7434156894683839,49.5
57,0.8792741298675537,71.25,1.7318330001831055,47.5
58,0.8128367185592651,73.4375,1.7763100051879883,49.0
59,0.9006499290466309,74.375,1.707171583175659,50.5
60,0.874780535697937,71.25,1.710042896270752,50.0
61,0.760306054353714,74.6875,1.6973770904541015,50.0
62,0.6868978142738342,77.5,1.7520607662200929,51.0
63,0.9458406567573547,70.625,1.7367131519317627,49.0
64,0.8153990089893342,73.4375,1.68232439994812,52.25
65,0.8370521903038025,73.75,1.7279706192016602,48.5
66,0.841596519947052,71.875,1.7056450748443603,51.0
67,0.8369982481002808,71.5625,1.7209985256195068,50.5
68,0.7317449450492859,76.5625,1.7128429698944092,50.75
69,0.7996281027793884,73.75,1.7021838569641112,49.0
70,0.9097727298736572,73.125,1.7566191482543945,50.5
71,0.8958479881286621,73.4375,1.7019028091430664,50.25
72,0.8036629915237427,75.3125,1.7178034019470214,50.5
73,0.9164096593856812,73.75,1.706570348739624,49.0
74,0.727166211605072,77.5,1.7000805568695068,52.5
75,0.8439743995666504,74.6875,1.7360030841827392,51.25
76,0.938162088394165,75.0,1.678487606048584,52.0
77,0.7298279285430909,78.125,1.6575224685668946,52.5
