Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,3.0503087520599363,15.9375,4.952262649536133,3.0
2,2.397691488265991,22.5,4.233273992538452,5.75
3,2.1642569303512573,25.3125,3.7577287483215334,9.25
4,2.0474756717681886,32.5,3.578310194015503,11.0
5,1.695616888999939,40.0,3.4249368286132813,12.0
6,1.7423515796661377,36.25,3.2819415950775146,13.25
7,1.6195544481277466,40.0,3.1061830043792726,17.0
8,1.6658904075622558,41.5625,3.0988055229187013,16.0
9,1.5514877557754516,39.6875,2.942050552368164,16.5
10,1.43803551197052,43.4375,2.951989688873291,16.5
11,1.4473224878311157,45.0,2.8887901306152344,18.75
12,1.4658700466156005,47.1875,2.8985059547424314,18.0
13,1.534104084968567,41.5625,2.8022429180145263,17.5
14,1.4220936059951783,45.625,2.8238376331329347,18.75
15,1.2508891582489015,50.0,2.814460105895996,20.0
16,1.3660351037979126,44.0625,2.812562427520752,17.5
17,1.3260369777679444,48.75,2.7860945224761964,19.75
18,1.2462647438049317,52.5,2.788140354156494,19.0
19,1.2737365245819092,50.625,2.7509592819213866,19.0
20,1.2612276077270508,51.875,2.752186794281006,18.0
21,1.2286051273345948,52.1875,2.698640751838684,20.25
22,1.225370717048645,54.0625,2.710807371139526,19.0
23,1.195660126209259,49.0625,2.7241177368164062,20.75
24,1.2150728702545166,48.75,2.6424414920806885,19.25
25,1.1624958992004395,54.0625,2.624587116241455,21.75
26,1.2307588577270507,49.0625,2.6813240337371824,20.5
27,1.146099042892456,49.375,2.7156472396850586,19.25
28,1.2737219095230103,48.125,2.6463021659851074,20.75
29,1.2150726795196534,49.0625,2.649741363525391,20.5
30,1.3493971586227418,46.875,2.6316468620300295,21.25
31,1.2487386226654054,49.375,2.6222174882888796,19.75
32,1.2089207410812377,51.875,2.618225269317627,19.0
33,1.1965656042099,52.1875,2.6118206071853636,19.75
34,1.3082647800445557,49.0625,2.562095909118652,21.0
35,1.1900312662124635,51.25,2.629607582092285,20.0
36,1.0876709938049316,52.8125,2.5808201026916504,20.0
37,1.1072313904762268,56.25,2.585943841934204,19.75
38,1.2265727519989014,49.375,2.6003047752380373,19.5
39,1.2309593439102173,48.4375,2.5951851749420167,21.0
40,1.267083764076233,47.8125,2.634343605041504,18.0
41,1.127444314956665,51.25,2.53792085647583,21.25
42,1.243716299533844,49.0625,2.5673584175109863,19.25
43,1.1142379283905028,53.4375,2.5540073776245116,22.5
44,1.1000733852386475,56.25,2.5348493003845216,23.75
45,1.2297495365142823,48.4375,2.5525247764587404,19.5
46,1.1007624387741088,55.0,2.53379189491272,20.75
47,1.2000046730041505,51.5625,2.536471071243286,20.5
48,1.110234308242798,53.4375,2.542282304763794,21.5
49,1.12950656414032,52.8125,2.5253611183166504,21.75
50,1.1915311574935914,47.1875,2.448937931060791,21.25
51,1.1316280007362365,53.75,2.51855055809021,20.5
52,1.0941826224327087,53.125,2.4943528079986574,21.75
53,1.1755127668380738,48.4375,2.4557664251327513,23.75
54,1.1443310618400573,53.75,2.43483850479126,23.25
55,1.0821473717689514,51.875,2.4825841331481935,21.0
56,1.1771360635757446,50.0,2.512694492340088,21.25
57,1.139366626739502,51.5625,2.464837074279785,23.25
58,1.0024610996246337,58.75,2.4814244651794435,20.5
59,1.1815686583518983,50.0,2.4566726970672605,22.0
60,1.1310741424560546,52.5,2.4723524475097656,22.75
61,1.2315601348876952,51.25,2.4788348484039306,23.75
62,0.9987214088439942,59.0625,2.4686366081237794,22.5
63,1.0263123035430908,55.9375,2.512363910675049,21.5
64,1.0719666957855225,50.9375,2.4636403274536134,22.0
65,1.0183867335319519,56.5625,2.46598445892334,23.0
66,1.1406135559082031,53.75,2.4552344036102296,21.0
67,1.0634865760803223,54.375,2.4509600162506104,23.25
68,1.0247538208961486,54.6875,2.4384224033355713,21.0
69,1.1381392240524293,51.5625,2.461524610519409,21.0
70,1.0375952005386353,55.625,2.4094732284545897,21.75
71,1.0574937462806702,50.625,2.4566675662994384,20.5
72,1.044321310520172,52.8125,2.401560878753662,22.0
73,1.106002688407898,49.375,2.369521951675415,21.25
74,1.0806007027626037,51.875,2.3937083435058595,23.75
75,1.0807727336883546,51.25,2.4076863670349122,23.25
76,1.0602975130081176,54.375,2.423668842315674,21.75
77,1.0223348617553711,57.1875,2.3974202823638917,23.5
