Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,1.9917758703231812,32.5,3.819918556213379,6.75
2,1.644630527496338,43.4375,3.290722942352295,13.75
3,1.526239824295044,45.3125,2.9975592708587646,18.25
4,1.40498046875,47.5,2.7794011449813842,20.0
5,1.1108398675918578,54.0625,2.6743244791030882,18.25
6,1.3478680372238159,50.9375,2.612097506523132,21.0
7,1.232294249534607,55.0,2.5722403430938723,20.75
8,1.1515097141265869,50.0,2.5081788730621337,23.0
9,1.1105468988418579,53.4375,2.45350528717041,22.5
10,1.1102407932281495,50.0,2.3835497951507567,24.0
11,1.0613450884819031,56.5625,2.3457467269897463,25.25
12,1.068182384967804,53.75,2.3375149536132813,26.25
13,1.1111356735229492,53.75,2.2736768341064453,24.5
14,1.0308454036712646,54.0625,2.2715045261383056,24.0
15,0.9491473197937011,55.9375,2.2282532691955566,23.75
16,1.0955937385559082,52.8125,2.2039868068695068,26.5
17,1.0017870783805847,52.1875,2.173486886024475,26.5
18,0.9509946227073669,62.8125,2.1862665367126466,25.75
19,0.9214786887168884,59.0625,2.1101312971115114,28.75
20,0.8828371524810791,61.875,2.0961618041992187,26.75
21,0.8560030817985534,58.75,2.0565390396118164,26.75
22,0.8725309610366822,62.5,2.052194595336914,27.0
23,0.8507820963859558,60.3125,2.0669406938552854,26.0
24,1.0024022698402404,55.625,2.0315559244155885,27.5
25,0.8153079509735107,63.4375,2.0126528310775758,26.25
26,0.9163289546966553,57.1875,1.999945788383484,28.75
27,0.9052275657653809,55.0,1.993866982460022,27.75
28,0.9031256675720215,58.125,1.9676376867294312,27.5
29,0.8954593420028687,61.25,1.936053328514099,28.25
30,0.9400009870529175,60.625,1.9709574937820435,27.25
31,0.9058972716331481,59.375,1.9500958299636841,27.75
32,0.9089414954185486,58.4375,1.9460023212432862,27.0
33,0.8554553747177124,64.375,1.9361980056762695,27.75
34,1.0407979607582092,54.375,1.9177356433868409,28.75
35,0.886035430431366,61.875,1.9240359592437744,29.25
36,0.8280406832695008,65.0,1.921524429321289,28.5
37,0.8931297183036804,59.375,1.9148351240158081,29.0
38,0.8674801826477051,62.1875,1.8886732625961304,27.5
39,0.8512240767478942,57.8125,1.8353185081481933,30.75
40,0.9583171010017395,59.6875,1.8847126579284668,27.5
41,0.9036801934242249,58.4375,1.8456978034973144,29.0
42,0.9276368260383606,59.0625,1.846848602294922,27.0
43,0.8335065603256225,63.75,1.8439348649978637,28.5
44,0.823610246181488,60.9375,1.8677388954162597,27.5
45,0.881660807132721,60.3125,1.8022856330871582,30.25
46,0.8388470411300659,62.1875,1.820900845527649,27.25
47,0.9469391703605652,58.4375,1.8336071300506591,28.0
48,0.791417396068573,62.5,1.8251833248138427,29.25
49,0.8524983286857605,56.25,1.7788953018188476,30.0
50,0.8319611072540283,61.5625,1.7945360279083251,29.5
51,0.8082729697227478,63.4375,1.7888353204727172,28.0
52,0.8429516434669495,60.625,1.8147239112854003,28.0
53,0.8178424000740051,59.0625,1.8032854223251342,28.25
54,0.8627308964729309,60.9375,1.7916598224639892,30.0
55,0.8452851176261902,59.0625,1.7986419677734375,27.5
56,0.9354286193847656,57.1875,1.8023032665252685,28.25
57,0.8473099589347839,61.875,1.7940892791748047,28.5
58,0.7468895971775055,64.375,1.7633160495758056,29.75
59,0.8848226189613342,59.375,1.7831026363372802,28.0
60,0.8531096458435059,59.375,1.7840816593170166,29.25
61,0.9231896758079529,60.3125,1.7959898138046264,27.25
62,0.7050475358963013,64.375,1.791682300567627,29.5
63,0.7932883381843567,62.8125,1.7591587209701538,29.75
64,0.8049593806266785,64.375,1.769429612159729,31.0
65,0.732250165939331,65.9375,1.753218593597412,31.0
66,0.8385222673416137,62.1875,1.750617551803589,30.5
67,0.8426011800765991,63.125,1.7556928014755249,30.0
68,0.7849650979042053,67.1875,1.7696250152587891,27.5
69,0.8522937774658204,60.625,1.7579862785339355,29.25
70,0.713368582725525,62.8125,1.7584695863723754,28.75
71,0.7928099036216736,60.0,1.7502612972259521,29.5
72,0.7285275101661682,65.0,1.7360303783416748,29.5
73,0.8289079904556275,57.8125,1.732443881034851,29.75
74,0.8539563059806824,61.875,1.7615992641448974,28.25
75,0.7893702507019043,62.5,1.7285017585754394,31.25
76,0.8017352938652038,61.5625,1.7260495615005493,30.5
77,0.7833171367645264,61.875,1.7004065084457398,32.0
78,0.7880219459533692,65.9375,1.740792474746704,31.0
79,0.8342719554901123,63.4375,1.7255236625671386,30.25
80,0.7527674674987793,64.0625,1.707201328277588,31.25
81,0.8267436742782592,64.0625,1.7167080974578857,30.0
82,0.729161512851715,63.125,1.722850866317749,30.5
83,0.8073240876197815,63.75,1.719207491874695,31.0
84,0.8578361630439758,63.4375,1.7227459478378295,31.5
85,0.7736623406410217,68.125,1.7068431711196899,31.25
86,0.8010707139968872,63.125,1.7003087902069092,32.25
87,0.7321555972099304,66.25,1.7203366088867187,33.0
88,0.7557099461555481,63.75,1.7044844007492066,31.5
89,0.7625337600708008,66.5625,1.7274884176254273,30.25
90,0.735327136516571,63.75,1.6848790216445924,30.5
91,0.828766942024231,63.4375,1.6942712211608886,29.5
92,0.7801655292510986,63.75,1.700561900138855,32.25
93,0.7867762088775635,62.8125,1.675206823348999,31.5
94,0.7775557041168213,63.75,1.6744443130493165,31.5
95,0.7829021573066711,64.375,1.7011397361755372,29.5
96,0.8440046668052673,63.125,1.7056842756271362,30.25
97,0.7481122851371765,66.875,1.6690177726745605,31.75
98,0.8621259808540345,60.9375,1.6664031267166137,31.5
99,0.7859394431114197,64.6875,1.684892830848694,30.5
100,0.7179466485977173,61.5625,1.7030406093597412,31.0
