Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,2.7222586631774903,25.625,3.7927817058563233,9.0
2,2.1319769382476808,42.1875,3.2839608573913575,17.0
3,1.6276740312576294,51.875,2.918942241668701,23.25
4,1.4534290313720704,56.25,2.6512156391143797,29.0
5,1.503326964378357,50.3125,2.472600889205933,29.25
6,1.2480193853378296,55.0,2.293681182861328,30.0
7,1.1374545097351074,58.125,2.1279794216156005,33.5
8,1.0928155660629273,61.5625,2.096560182571411,32.25
9,1.1313102960586547,58.4375,1.9987262868881226,36.25
10,1.0366110324859619,62.5,1.9450071239471436,37.0
11,0.9043580293655396,66.25,1.922553644180298,36.5
12,0.899660837650299,68.125,1.8894261455535888,38.5
13,1.024963903427124,62.8125,1.857087526321411,38.75
14,0.9363087296485901,67.1875,1.8491009426116944,39.75
15,0.8360414266586303,70.3125,1.814786319732666,39.0
16,0.7554606676101685,72.1875,1.791703987121582,41.0
17,0.8998576045036316,67.8125,1.7812875080108643,40.0
18,0.7884321451187134,70.0,1.7610894966125488,41.5
19,0.7752208828926086,70.9375,1.7627306079864502,41.5
20,0.7937642693519592,74.0625,1.72487211227417,41.75
21,0.7260801911354064,76.5625,1.691709451675415,44.0
22,0.7889950275421143,74.0625,1.6994169807434083,43.5
23,0.7094234108924866,75.9375,1.6799657249450684,43.25
24,0.7202114820480346,72.5,1.6817823696136474,43.0
25,0.7594990730285645,70.625,1.702930212020874,43.25
26,0.7588616728782653,69.6875,1.673385000228882,45.0
27,0.7292028188705444,71.875,1.6830114650726318,42.75
28,0.6700083076953888,75.9375,1.6557994270324707,43.5
29,0.6366540670394898,75.3125,1.668032169342041,45.25
30,0.7031148910522461,75.0,1.6316129779815673,43.5
31,0.6704978227615357,75.625,1.6172054433822631,44.0
32,0.7584144234657287,72.1875,1.5915309047698976,44.5
33,0.7167786359786987,77.1875,1.5925265979766845,44.0
34,0.706974446773529,73.4375,1.5924202489852906,45.5
35,0.6963993370532989,75.9375,1.5768380975723266,45.75
36,0.650930893421173,79.0625,1.5853423070907593,46.75
37,0.6757533311843872,72.5,1.617793197631836,46.0
38,0.7024928808212281,77.1875,1.5855684566497803,48.75
39,0.7760774374008179,71.875,1.6022013759613036,48.0
40,0.7230264067649841,72.1875,1.5886410903930663,46.75
41,0.7542412519454956,73.125,1.5754628419876098,46.75
42,0.6242705583572388,76.875,1.5805749988555908,47.0
43,0.6429782986640931,75.0,1.541315245628357,48.25
44,0.708707582950592,73.75,1.5457398462295533,48.0
45,0.657185411453247,75.625,1.5485176944732666,46.25
46,0.794208574295044,73.4375,1.531093053817749,46.25
47,0.6776362657546997,75.9375,1.530919976234436,47.0
48,0.7192014336585999,73.75,1.5387833833694458,48.0
49,0.6569224953651428,75.9375,1.5460061168670653,46.0
50,0.6056721329689025,76.875,1.5496150588989257,47.0
51,0.689169442653656,74.375,1.54909255027771,47.25
52,0.6004913449287415,77.1875,1.5501602935791015,46.25
53,0.6666721343994141,75.625,1.5258425521850585,48.5
54,0.6465047001838684,77.5,1.5260574626922607,47.25
55,0.6047723770141602,80.625,1.5252296781539918,45.5
56,0.6717397332191467,77.8125,1.5241344833374024,47.0
57,0.6657941460609436,75.625,1.491662769317627,48.5
58,0.7417048335075378,75.625,1.5095443964004516,46.75
59,0.7250357091426849,73.125,1.516273956298828,48.5
